anno cens,Com_Den,"Sottosistemi territoriali ",Località - centri,Fr_pop res
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Motta (https://www.notion.so/Motta-11b7c49d99b1807b8945e85b66fa4cad?pvs=21),Motta,71
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Codera,205
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Campo,359
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Novate,604
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),San Giacomo Filippo (https://www.notion.so/San-Giacomo-Filippo-4442b9bbbf894587be85a28aa25c1e2c?pvs=21),Olmo (https://www.notion.so/Olmo-e266e73304de44659843f19c2192bf9a?pvs=21),Olmo,417
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21),Pianazzo,149
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),Savogno,417
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),S Croce,447
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),S Abbondio,632
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),Prosto,565
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Portarezza (https://www.notion.so/Portarezza-75e1c612637a4ac4bf5030718a5d3a6a?pvs=21),Prestone,302
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Portarezza (https://www.notion.so/Portarezza-75e1c612637a4ac4bf5030718a5d3a6a?pvs=21),Portarezza,58
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Portarezza (https://www.notion.so/Portarezza-75e1c612637a4ac4bf5030718a5d3a6a?pvs=21),Pietra,162
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),Stovano,212
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),Malaguardia,162
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),S Cassiano,303
1881 (https://www.notion.so/1881-39df4eb50abf4c089873c785a371a25d?pvs=21),Samolaco (https://www.notion.so/Samolaco-8fd0925aa0a2408292ac6d9755e22761?pvs=21),Samolaco (https://www.notion.so/Samolaco-11c7c49d99b180219498ebb70231c750?pvs=21),Somaggia,309
