cat 2022,Località,comune senza link,località senza link,Immagini_fotografie sopralluogo,cat 1853,dest uso 1853,sezione località,dest uso 1853 - extra,cat 1807,stato_conservazione_globale,destinazione_uso_attuale,stato_utilizzo_attuale,stato_conservazione_globale (doppie),cat 1951,dest uso 1950,vincoli e tutele,TARI 2021 - da tenere,IMU 2021 - da tenere,note - da tenere,caratteri_storico_culturali,apparati decorativi,apparati decorativi - stato di conservazione,infissi esterni - tipologia,infissi esterni - materiale,infissi esterni - stato di conservazione,collegamenti esterni - tipologia,collegamenti esterni - materiale,collegamenti esterni - stato di conservazione,accessibilità,smaltimento_acqua,smaltimento_acqua - stato di conservazione,finiture esterne - tipologia,finiture esterne - dettaglio materiale intonaco,finiture esterne - conservazione,componenti strutturali verticali - materiale,componenti verticali - tecnica costruttiva,componenti verticali - conservazione,componenti - coperture - materiale,componenti - coperture - tecnica costruttiva,componenti - coperture - conservazione,componenti strutturali orizzontali - tecnica costruttiva,componenti strutturali orizzontali - materiale,componenti strutturali orizzontali - conservazione,componenti - fondazioni,presenza_opere_provvisionali,degrado - finiture esterne,degrado - componenti vert,degrado - coperture,unità 1 - piani,unità 2 - piani,unità 3 - piani,pavimentazioni_esterne,impiantistica,Comune,loc senza link 
56_469,Prato Morello (https://www.notion.so/Prato-Morello-6bb02bdd19ea47f38b2d94849076f422?pvs=21),San Giacomo Filippo,Prato Morello,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_172707.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_172417.jpg",,,,,,fenomeni di degrado superficiali,residenziale,uso temporaneo,fenomeni di degrado superficiali,0,,,Uso domestico_seconde case,A04,,,,,,,,,,,,,,intonaco_rustico,,,pietra con legante,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Prato Morello
56_508,Prato Morello (https://www.notion.so/Prato-Morello-6bb02bdd19ea47f38b2d94849076f422?pvs=21),San Giacomo Filippo,Prato Morello,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_173335.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_173304.jpg",,,,,,fenomeni di degrado superficiali,multifunzione,uso temporaneo,fenomeni di degrado superficiali,0,,,Uso domestico_seconde case,A11,,,,,,,,,,,,,,non presente,,,pietra con legante,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Prato Morello
56_931,Prato Morello (https://www.notion.so/Prato-Morello-6bb02bdd19ea47f38b2d94849076f422?pvs=21),San Giacomo Filippo,Prato Morello,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_172417.jpg,,,,,,fenomeni di degrado superficiali,servizio,uso temporaneo,fenomeni di degrado superficiali,0,,,Uso domestico_seconde case,,in ristrutturazione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Prato Morello
56_466,Prato Morello (https://www.notion.so/Prato-Morello-6bb02bdd19ea47f38b2d94849076f422?pvs=21),San Giacomo Filippo,Prato Morello,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_172713.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_172417.jpg",925,CASOLARE,,,presente,perdita funzionalità,multifunzione,disuso - rudere,perdita funzionalità,0,,,,A11,buco copertura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mancanza componenti strutturali,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Prato Morello
56_506,Prato Morello (https://www.notion.so/Prato-Morello-6bb02bdd19ea47f38b2d94849076f422?pvs=21),San Giacomo Filippo,Prato Morello,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_173331.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_173304.jpg",,,,,,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,0,,,,,506+507,,,,,,,,,,,,,non presente,,,pietra con legante,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Prato Morello
56_510,Prato Morello (https://www.notion.so/Prato-Morello-6bb02bdd19ea47f38b2d94849076f422?pvs=21),San Giacomo Filippo,Prato Morello,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_173356%201.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_173248.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_173250.jpg",952,CASOLARE,,,presente,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,0,,,Uso domestico_seconde case,A03,"926+510 (mappato anche dietro a unità utilizzata, altra unità ma sembra crollo - da verificare)",,,,,,,,,,,,,non presente,,,pietra con legante,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Prato Morello
56_927,Prato Morello (https://www.notion.so/Prato-Morello-6bb02bdd19ea47f38b2d94849076f422?pvs=21),San Giacomo Filippo,Prato Morello,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_172707%201.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_172417.jpg",,,,,,fenomeni di degrado superficiali,residenziale,uso temporaneo,fenomeni di degrado superficiali,0,,,,,,,,,,,,,,,,,,intonaco_rustico,,,pietra con legante,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Prato Morello
56_468,Prato Morello (https://www.notion.so/Prato-Morello-6bb02bdd19ea47f38b2d94849076f422?pvs=21),San Giacomo Filippo,Prato Morello,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_172417.jpg,,,,,,perdita funzionalità,non rilevabile,disuso - rudere,perdita funzionalità,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Prato Morello
56_478,Prato Morello (https://www.notion.so/Prato-Morello-6bb02bdd19ea47f38b2d94849076f422?pvs=21),San Giacomo Filippo,Prato Morello,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_172810.jpg, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_172417.jpg",,,,,,fenomeni di degrado superficiali,residenziale,uso temporaneo,fenomeni di degrado superficiali,0,,,Uso domestico_seconde case,A11,in ristrutturazione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Prato Morello
56_922,Coda (https://www.notion.so/Coda-2c85b4da99e0484a86a20d931a9d0b83?pvs=21),San Giacomo Filippo,Coda,,,,Post de Mez,,non presente,perdita funzionalità,non rilevabile,disuso - rudere,perdita funzionalità,0,,,,,no foto - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Coda
56_299,Coda (https://www.notion.so/Coda-2c85b4da99e0484a86a20d931a9d0b83?pvs=21),San Giacomo Filippo,Coda,,,,,,non presente,perdita funzionalità,non rilevabile,disuso - rudere,perdita funzionalità,0,,,,,no foto - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Coda
56_564,Coda (https://www.notion.so/Coda-2c85b4da99e0484a86a20d931a9d0b83?pvs=21),San Giacomo Filippo,Coda,,,,Post de Mez,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,,A03,no foto - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Coda
56_300,Coda (https://www.notion.so/Coda-2c85b4da99e0484a86a20d931a9d0b83?pvs=21),San Giacomo Filippo,Coda,,,,,,non presente,perdita funzionalità,non rilevabile,disuso - rudere,perdita funzionalità,0,,,,,no foto - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Coda
56_567,Coda (https://www.notion.so/Coda-2c85b4da99e0484a86a20d931a9d0b83?pvs=21),San Giacomo Filippo,Coda,,,,Post de Mez,,non presente,perdita funzionalità,non rilevabile,disuso - rudere,perdita funzionalità,0,,,,,no foto - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Coda
56_301,Coda (https://www.notion.so/Coda-2c85b4da99e0484a86a20d931a9d0b83?pvs=21),San Giacomo Filippo,Coda,,,,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,,A11,no foto - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Coda
56_298,Coda (https://www.notion.so/Coda-2c85b4da99e0484a86a20d931a9d0b83?pvs=21),San Giacomo Filippo,Coda,,,,,,non presente,perdita funzionalità,non rilevabile,disuso - rudere,perdita funzionalità,0,,,,C02,no foto - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Coda
56_924,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5232.heic,2091,SF,,,non presente,senza fenomeni di degrado,residenziale,non rilevabile,senza fenomeni di degrado,0,,,Uso domestico_seconde case,A04,406+924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_370,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5239.heic,3750,LT,,,non presente,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,0,,,Uso domestico_seconde case,A03,,,,,,,,,,,,,,rivestimento in legno,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_369,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5239.heic,2042,SF,,3749 - ND,presente,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,0,,,Uso domestico_seconde case,A03,,,,,,,,,,,,,,rivestimento in legno,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_410,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,,2093,SF,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,,,non vista - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_386,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5237.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5234.heic",3451,P SF,,,presente,non rilevabile,residenziale,uso temporaneo,non rilevabile,0,,,,A06,,,,,,,,,,,,,,intonaco_rustico,,,pietra con legante,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_417,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,,,,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,,,non vista - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_925,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5232.heic,,,,,non presente,fenomeni di degrado diffusi,servizio,disuso,fenomeni di degrado diffusi,0,,,,C02,925+419 (copertura provvisoria),,,,,,,,,,,,,,,,,,,,,,,,,,coperture provvisorie,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_377,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,,,,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,,C02,non vista - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_413,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,,,,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,,,non vista - da google rudere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_380,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,,,,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,,C02,non vista - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_418,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,,,,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,,,non vista - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_379,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,,,,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,,C02,non vista - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_929,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5232%201.heic,2090,P SF,,,presente,fenomeni di degrado superficiali,residenziale,disuso,"fenomeni di degrado superficiali, senza fenomeni di degrado",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_419,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5232%202.heic,,,,,non presente,fenomeni di degrado diffusi,servizio,disuso,fenomeni di degrado diffusi,0,,,,,925+419 (copertura provvisoria),,,,,,,,,,,,,,,,,,,,,,,,,,coperture provvisorie,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_915,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5235.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5233.heic",,,,,non presente,senza fenomeni di degrado,servizio,uso temporaneo,senza fenomeni di degrado,0,,,,,una falda,,,,,,,,,,,,,non presente,,,pietra con legante,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_382,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5238.heic,,,,,non presente,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,0,,,,A11,381+382,,,,,,,,,,,,,non presente,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_404,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,,,,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,,,non vista (dietro a 924),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_928,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,,,,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,,A04,non vista - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_406,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5232.heic,2091,SF,,,presente,senza fenomeni di degrado,residenziale,non rilevabile,senza fenomeni di degrado,0,,,,,406+924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_378,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,,,,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,,,non vista - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_411,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,,2092,SF,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,,,non vista - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_930,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,,2094,SF,,,presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,,,non vista - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_415,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,,,,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,,,non vista - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_914,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5235.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5233.heic",2095,P SF,,,presente,fenomeni di degrado diffusi,non rilevabile,disuso,fenomeni di degrado diffusi,0,,,,C02,,,,,,,,,,,,,,non presente,,,pietra a secco,,,,,,,,,,coperture provvisorie,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_916,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,,,,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,Uso domestico_seconde case,A04,non vista - da vedere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
56_381,Saraia (https://www.notion.so/Saraia-6ad008ebe9b34675bb4739cb372d81c3?pvs=21),San Giacomo Filippo,Saraia,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5238.heic,3740,SF,,,presente,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,0,,,Uso domestico_seconde case,A11,381+382,,,,,,,,,,,,,non presente,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Saraia
59_189,Cigolino (https://www.notion.so/Cigolino-1197c49d99b180c8b3fbead558c21ad4?pvs=21),San Giacomo Filippo,Cigolino,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5229.heic,,,,,non presente,senza fenomeni di degrado,residenziale,uso temporaneo,senza fenomeni di degrado,0,,,,,case guardiani?,,,,,,,,,,,,,intonaco_tintura,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Cigolino
59_693,Cigolino (https://www.notion.so/Cigolino-1197c49d99b180c8b3fbead558c21ad4?pvs=21),San Giacomo Filippo,Cigolino,,,,,,non presente,non presente,non rilevabile,non presente,non presente,0,,,,C02,da google sembra rudere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Cigolino
59_695,Cigolino (https://www.notion.so/Cigolino-1197c49d99b180c8b3fbead558c21ad4?pvs=21),San Giacomo Filippo,Cigolino,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_175733.jpg,,,,,non presente,,servizio,,,0,,,,C02,elemento della centrale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Cigolino
59_697,Cigolino (https://www.notion.so/Cigolino-1197c49d99b180c8b3fbead558c21ad4?pvs=21),San Giacomo Filippo,Cigolino,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_175820.jpg,,,,,non presente,,servizio,,,0,,,,,elemento della centrale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Cigolino
56_701,Cigolino (https://www.notion.so/Cigolino-1197c49d99b180c8b3fbead558c21ad4?pvs=21),San Giacomo Filippo,Cigolino,,,,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,,,da google sembra rudere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Cigolino
59_66,Cigolino (https://www.notion.so/Cigolino-1197c49d99b180c8b3fbead558c21ad4?pvs=21),San Giacomo Filippo,Cigolino,,,,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,Uso domestico_seconde case,A04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Cigolino
59_692,Cigolino (https://www.notion.so/Cigolino-1197c49d99b180c8b3fbead558c21ad4?pvs=21),San Giacomo Filippo,Cigolino,,,,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,,Uso domestico_seconde case,A04,case guardiani? no foto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Cigolino
59_696,Cigolino (https://www.notion.so/Cigolino-1197c49d99b180c8b3fbead558c21ad4?pvs=21),San Giacomo Filippo,Cigolino,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_175733.jpg,,,,,non presente,,servizio,,,0,,,,,elemento della centrale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Cigolino
59_187,Cigolino (https://www.notion.so/Cigolino-1197c49d99b180c8b3fbead558c21ad4?pvs=21),San Giacomo Filippo,Cigolino,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_180542.jpg,,,,,non presente,fenomeni di degrado superficiali,residenziale,uso temporaneo,"fenomeni di degrado superficiali, senza fenomeni di degrado",0,,,,A03,case guardiani?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Cigolino
59_699,Cigolino (https://www.notion.so/Cigolino-1197c49d99b180c8b3fbead558c21ad4?pvs=21),San Giacomo Filippo,Cigolino,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_174702.jpg,,,,,non presente,,servizio,,,0,,,,,elemento della centrale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Cigolino
59_698,Cigolino (https://www.notion.so/Cigolino-1197c49d99b180c8b3fbead558c21ad4?pvs=21),San Giacomo Filippo,Cigolino,Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_20230607_175832.jpg,,,,,non presente,,servizio,,,0,,,,C02,elemento della centrale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Cigolino
59_218,Mondadiscio (https://www.notion.so/Mondadiscio-1197c49d99b180339033eb6e53837cb5?pvs=21),San Giacomo Filippo,Mondadiscio,,2522,P SF,,,non presente,non rilevabile,non rilevabile,non rilevabile,non rilevabile,0,,"I2, LOCALE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Mondadiscio
59_235,Mondadiscio (https://www.notion.so/Mondadiscio-1197c49d99b180339033eb6e53837cb5?pvs=21),San Giacomo Filippo,Mondadiscio,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5220.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5216.heic",,,,,non presente,fenomeni di degrado diffusi,produttivo rurale,disuso,"fenomeni di degrado diffusi, fenomeni di degrado superficiali",0,,"I2, LOCALE",,C02,guaina ardesiata copertura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Mondadiscio
59_253,Mondadiscio (https://www.notion.so/Mondadiscio-1197c49d99b180339033eb6e53837cb5?pvs=21),San Giacomo Filippo,Mondadiscio,"Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5211.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5205.heic, Edifici%20fca5a1adf0b248fbb9c171e8da41f579/IMG_5204.heic",3752,SF,,,presente,perdita funzionalità,produttivo rurale,disuso - rudere,perdita funzionalità,0,,"I2, LOCALE",,A04,bruciata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4442b9bbbf894587be85a28aa25c1e2c,Mondadiscio
