Comuni;Sottosistema;Denominazione;Codice localita;slm;Reti servizi presenti;Accessibilità principale;Viabilità interna;res 2022 - da verificare
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Teggiate (https://www.notion.so/Teggiate-4e5ac1299c8b4e848d403ad2684037b5?pvs=21);Teggiate nuova;2;1680;;strada asfaltata;veicolare;1
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Teggiate (https://www.notion.so/Teggiate-4e5ac1299c8b4e848d403ad2684037b5?pvs=21);Cascine di Teggiate;2;1786;;strada asfaltata;veicolare;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Andossi (https://www.notion.so/Andossi-11b7c49d99b18096a06accb03296aa5a?pvs=21);Alpe Andossi;3;1789;;strada asfaltata, strada sterrata;pedonale, terra battuta, veicolare;4
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Teggiate (https://www.notion.so/Teggiate-4e5ac1299c8b4e848d403ad2684037b5?pvs=21);Alpe Boffalora;3;1818;;strada asfaltata;pedonale, terra battuta, veicolare;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Teggiate (https://www.notion.so/Teggiate-4e5ac1299c8b4e848d403ad2684037b5?pvs=21);Palu / Palude;3;1828;;strada asfaltata;pedonale, terra battuta, veicolare;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21);Scalcoggia;2;1508;;strada asfaltata, strada sterrata;terra battuta, veicolare;9
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21);Torni;2;1360;;sentiero, strada sterrata;pavimentata, pedonale, terra battuta, veicolare;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Rasdeglia (https://www.notion.so/Rasdeglia-acd2d238fd7c41de931a39327901c075?pvs=21);Rasdeglia;3;1500;;sentiero, strada asfaltata, strada sterrata;pedonale, terra battuta;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Rasdeglia (https://www.notion.so/Rasdeglia-acd2d238fd7c41de931a39327901c075?pvs=21);Alpe Vamlera;3;1885;;sentiero, strada sterrata;pedonale, terra battuta;
Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21);Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21), Rasdeglia (https://www.notion.so/Rasdeglia-acd2d238fd7c41de931a39327901c075?pvs=21);Alpe Soste;3;1538;;sentiero;pedonale, terra battuta;
