anno cens,Comuni,Sottosistemi territoriali,Località - centri,Fr_pop res,Fr_n fam
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Bette,316,90
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Pianazzola,254,53
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),S Giovanni,365,81
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),S Carlo,114,29
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),S Vittore,195,40
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Castrona,26,5
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Madonna delle Grazie,177,36
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Scandolera,240,37
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Piatti,145,25
1921 (https://www.notion.so/1921-11c7c49d99b18007a8c2d0da24fca33d?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Piazzoli,324,74
