anno cens,Com_Den,Sottosistemi territoriali,Località,Loc_Fr di rif,Loc_Cod,Località 1971,Loc_pop res,Com_abitazioni occupate,"Com_abitazioni non occupate ",Com_n fam,% ab non occupate / tot,% ab non occupate / tot (1),concat
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-3fe0740b771541769895f26ad77588e7?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-e3ee37c7c7da48e09f77f9ba6472db9a?pvs=21),Campodolcino,1,Campodolcino,680,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Campodolcino (https://www.notion.so/Campodolcino-588bd69db74f48b5bac1cf06486a603f?pvs=21),,,,,,,435,381,445,0.466911764706,0.533088235294,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),,,,,,2107,255,2143,0.107959356478,0.892040643522,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),,Pizzo Alto,4,,0,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Uschione (https://www.notion.so/Uschione-f95a0da0233e40f1a88dbd2434e119d1?pvs=21),Uschione,1,Uschione,14,,,,,,Uschione
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Bette (https://www.notion.so/Bette-3b87810f66114f2996afc4049dd5a991?pvs=21),Chiavenna,1,Bette,842,,,,,,Bette
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Pianazzola (https://www.notion.so/Pianazzola-85917f662d144548bab106a8a850fcfe?pvs=21),Chiavenna,1,Pianazzola,148,,,,,,Pianazzola
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),S Carlo (https://www.notion.so/S-Carlo-a8fef79ca98748b4a521194463ce8495?pvs=21),Chiavenna,2,S Carlo II,232,,,,,,S Carlo Maina_np - 1861 - 1951
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),S Carlo (https://www.notion.so/S-Carlo-a8fef79ca98748b4a521194463ce8495?pvs=21),Chiavenna,2,S Carlo I,115,,,,,,S Carlo Crotti_np - 1861 - 1951
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Campedello (https://www.notion.so/Campedello-883567e172c54eee90dc73b411f3d19d?pvs=21),Chiavenna,2,Campedello,261,,,,,,Campedello
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-91234617eccd474aae4338f5c71427b8?pvs=21),Chiavenna,1,Chiavenna,5536,,,,,,Chiavenna
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,,,,,433,19,433,0.04203539823,0.95796460177,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona,3,case sparse,16,,,,,,case sparse Gordona_1861_1951_2001_2011
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Mondadizza (https://www.notion.so/Mondadizza-d668b371b3514a878ed77475e361b535?pvs=21),Coloredo,2,Mondadizza,64,,,,,,Mondadizza_1971
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Coloredo (https://www.notion.so/Coloredo-8e6c92d1faf04f71961915a44a12a8d3?pvs=21),Coloredo,1,Coloredo,288,,,,,,Coloredo
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),Gordona (https://www.notion.so/Gordona-7eac82b76f2a46278918bbbdff80299b?pvs=21),Gordona,1,Gordona,1135,,,,,,Gordona
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),,,Pizzo Tambo,4,,0,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),,,Lago Montespluga,4,,0,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),,,Pizzo di Emet,4,,0,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21),,Pianazzo,3,case sparse,7,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21),Madesimo (https://www.notion.so/Madesimo-bff04dff85a54650aa7bf9b910f8f0d7?pvs=21),Pianazzo,1,Madesimo,485,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21),Pianazzo (https://www.notion.so/Pianazzo-70162b5d2b4e4e07854f2ee3faa93a2d?pvs=21),Pianazzo,1,Pianazzo,71,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21),Montespluga (https://www.notion.so/Montespluga-1091553a26e74c3680def1aebced948d?pvs=21),Montespluga,1,Montespluga,21,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21),,Isola,3,case sparse,17,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21),Isola (https://www.notion.so/Isola-59cbc18aa9b1402fb2a0ba148ceaf494?pvs=21),Isola,1,Isola,75,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),,,,,,,189,35,192,0.15625,0.84375,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),,Menarola,3,case sparse,0,,,,,,case sparse Menarola_1861_1951_2001
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),,Pizzo della Forcola,4, ,,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),,Menarola,2,Posmotta,11,,,,,,Posmotta_np - 1971
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),,Menarola,2,Motto,56,,,,,,Motto_1951_2001
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Bortolotto (https://www.notion.so/Bortolotto-c17f030ad566406d98ae5d3b9a915069?pvs=21),Menarola,2,Bortolotto,28,,,,,,Bortolotto_1951
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Gradesella (https://www.notion.so/Gradesella-eabcdf08c83e4333b1c1f0f80bef5b9f?pvs=21),Menarola,2,Gradesella,43,,,,,,Gradesella
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Castenedi (https://www.notion.so/Castenedi-0bc3961f62b543aca5cfabba03f63adc?pvs=21),Menarola,1,Castenedi,15,,,,,,Castenedi
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Foppo (https://www.notion.so/Foppo-c1943ea4eb9b442e933b00d094de1b21?pvs=21),Menarola,2,Foppo,0,,,,,,Foppo
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),Voga (https://www.notion.so/Voga-314d1cc52cdb4fa99a22a500c0fd53cd?pvs=21),Menarola,2,Voga,1,,,,,,Voga
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),,,,,,52,75,52,0.590551181102,0.409448818898,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),Madonna delle Grazie / Peverello (https://www.notion.so/Madonna-delle-Grazie-Peverello-6bb8a0d5975d43fb803907f3d4858b13?pvs=21),Mese,2,Madonna delle Grazie,108,,,,,,Madonna delle Grazie / Peverello
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),S Vittore (https://www.notion.so/S-Vittore-bbf1216657274b71aa1b7c1c0eb85377?pvs=21),Mese,1,S Vittore,499,,,,,,S Vittore
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),,Mese,2,Motto,33,,,,,,Motto_1951_2011
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),S Mamete (https://www.notion.so/S-Mamete-9a5caf21e32d4e329c42fb85c46190cd?pvs=21),Mese,1,S Mamete,201,,,,,,S Mamete
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),,,,,,270,56,271,0.171779141104,0.828220858896,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),,Mese,2,Cappella Grande,120,,,,,,Cappella Grande_np - 1951
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),,Mese,3,case sparse,5,,,,,,case sparse Mese_1861_1951_2001
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Lago di Mezzola,4,,0,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Pizzo Ligoncio,4,,0,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,,,,,531,105,531,0.165094339623,0.834905660377,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Avedee (https://www.notion.so/Avedee-c54041a842ac416ea0818c5142076977?pvs=21),Codera,2,Avedee,12,,,,,,Avedee
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Codera (https://www.notion.so/Codera-e98e4da4ce914a1ba920b54e87a90c20?pvs=21),Codera,1,Codera,67,,,,,,Codera
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Campo (https://www.notion.so/Campo-292fe400af754ec19e8f8c1192e2e79f?pvs=21),Campo,1,Campo,494,,,,,,Campo
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),Novate Mezzola (https://www.notion.so/Novate-Mezzola-69f77bb83ba44025841ed3476cd9a00f?pvs=21),Novate Mezzola,1,Novate Mezzola,1291,,,,,,Novate Mezzola
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),,,,,,405,86,408,0.175152749491,0.824847250509,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),Prosto (https://www.notion.so/Prosto-c8ebb65685b7453b8d65f6aa7f894899?pvs=21),Prosto,3,case sparse,8,,,,,,case sparse Prosto_1951
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),Borgonuovo (https://www.notion.so/Borgonuovo-11c7c49d99b18012aa53d6ed4ac9b26c?pvs=21),Borgonuovo,3,case sparse,5,,,,,,case sparse Borgonovo / Borgonuovo_1951
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),,Val di Lei,4,,0,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),,Laghi,4,,0,,,,,,
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),Borgonuovo (https://www.notion.so/Borgonuovo-11c7c49d99b18012aa53d6ed4ac9b26c?pvs=21),Borgonuovo,1,Borgonuovo,638,,,,,,Borgonovo / Borgonuovo_1951_1971
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),Savogno (https://www.notion.so/Savogno-bd488df8c928480d85d6a81b5fe1865a?pvs=21),Borgonuovo,2,Savogno,0,,,,,,Savogno
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),S Croce (https://www.notion.so/S-Croce-2a8d65dbeb4c41deae5aea0f449f12e7?pvs=21),Borgonuovo,1,S Croce,294,,,,,,S Croce
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),Prosto (https://www.notion.so/Prosto-c8ebb65685b7453b8d65f6aa7f894899?pvs=21),Prosto,1,Prosto,619,,,,,,Prosto
1971 (https://www.notion.so/1971-249a0d6e7df84acba3cd95ad3e1f15b5?pvs=21),Prata Camportaccio (https://www.notion.so/Prata-Camportaccio-0d1eb1359aef447495ccd26ded9968e8?pvs=21),Prata (https://www.notion.so/Prata-11c7c49d99b180c693e1d9e78c586d94?pvs=21),,Prata Centro,3,case sparse,34,,,,,,case sparse Prata Centro_1951
