Comuni,Anno cens,Com_Den,"Sottosistemi territoriali ",Località,Località _1807,Fr_Pop res,Loc_Cod,Fr_Tipo,concat
Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Mese,Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),,Mattadello,49,1 - centro,frazione,Mattadello_np
Mese (https://www.notion.so/Mese-cc7fcc078e394bc895bd367f637beb3d?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Mese,Mese (https://www.notion.so/Mese-11c7c49d99b180cd9ed8fcce3a12175a?pvs=21),,Marazzo,60,1 - centro,frazione,Merazzo / Marazzo_np - capire nome - Grigioni
Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Novate,Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Novate,250,1 - centro,frazione,Novate Mezzola
Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Novate,Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Cola,136,1 - centro,frazione,Cola
Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Novate,Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Codera,430,1 - centro,frazione,Codera
Novate Mezzola (https://www.notion.so/Novate-Mezzola-a2b352fb0d07487cb22ffad258c4e766?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Novate,Novate (https://www.notion.so/Novate-11c7c49d99b180eead97dde5ee1a4266?pvs=21),,Campo,136,1 - centro,frazione,Campo
Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Piuro,Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),,Savogno,215,1 - centro,frazione,Savogno
Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Piuro,Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),,S Croce,229,1 - centro,frazione,S Croce
Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Piuro,Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),,S Abbondio,279,1 - centro,frazione,S Abbondio
Piuro (https://www.notion.so/Piuro-198ac9109da344c6bcc90d755170b975?pvs=21),1807 (https://www.notion.so/1807-11b7c49d99b180fa897ef6e89d9976c1?pvs=21),Piuro,Piuro (https://www.notion.so/Piuro-11c7c49d99b18047bb73ee5214adb1d2?pvs=21),,Prosto,354,1 - centro,frazione,Prosto
