anno cens,Com_Den,Sottosistemi territoriali,Località,Località 1861 nome,Loc_Cod,Loc_pop res,Loc_n fam,Loc_ab occ,Loc_ab non occ,ab non occ / tot,ab occ / tot,concat
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Loreto (https://www.notion.so/Loreto-5af284a0903046848d08ed7859704c74?pvs=21),Loreto,2,186,42,31,1,0.03125,0.96875,Loreto
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Campello (https://www.notion.so/Campello-3ef93c0096a74f3c97acf16d4b4a27d7?pvs=21),Campo dello Campello,2,36,6,6,0,0,1,Campello
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Campedello (https://www.notion.so/Campedello-883567e172c54eee90dc73b411f3d19d?pvs=21),Campo dello Campedello,2,99,21,13,4,0.235294117647,0.764705882353,Campedello
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Bette (https://www.notion.so/Bette-3b87810f66114f2996afc4049dd5a991?pvs=21),Bette,2,289,57,43,3,0.065217391304,0.934782608696,Bette
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-91234617eccd474aae4338f5c71427b8?pvs=21),Berta,2,22,7,1,7,0.875,0.125,Berta_np - 1861
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-0a208f1ee6334934bdcb6c582d9e2a15?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-11c7c49d99b1804a9920f26be4637c2b?pvs=21),Chiavenna (https://www.notion.so/Chiavenna-91234617eccd474aae4338f5c71427b8?pvs=21),Chiavenna,1,2435,614,245,12,0.046692607004,0.953307392996,Chiavenna
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,case sparse,3,8,7,7,6,0.461538461538,0.538461538462,case sparse Gordona_1861_1951_2001_2011
1861 (https://www.notion.so/1861-11c7c49d99b18091aadaf1e8401c641e?pvs=21),Gordona (https://www.notion.so/Gordona-232ecdffea2843e88b7b8424258e707f?pvs=21),Gordona (https://www.notion.so/Gordona-11c7c49d99b180bebff2c2e5fbb5dd5e?pvs=21),,Gordona,1,1142,212,196,23,0.10502283105,0.89497716895,Gordona
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Pianazzo (https://www.notion.so/Pianazzo-9f9b9d1526c9467c9ae038e81542f120?pvs=21),Pianazzo (https://www.notion.so/Pianazzo-70162b5d2b4e4e07854f2ee3faa93a2d?pvs=21),Pianazzo,1,192,35,27,13,0.325,0.675,
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Madesimo (https://www.notion.so/Madesimo-148216101dc048a7a38cad70d4a4a2a4?pvs=21),Madesimo (https://www.notion.so/Madesimo-bff04dff85a54650aa7bf9b910f8f0d7?pvs=21),Madesimo,1,160,37,26,9,0.257142857143,0.742857142857,
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21),Isola (https://www.notion.so/Isola-59cbc18aa9b1402fb2a0ba148ceaf494?pvs=21),case sparse Isolato,3,223,72,48,51,0.515151515152,0.484848484848,
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21),Mottaletta (https://www.notion.so/Mottaletta-120a84cff7be43d7b1f4536e6ceaa14b?pvs=21),Mottaletta,2,71,21,16,4,0.2,0.8,
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Madesimo (https://www.notion.so/Madesimo-965dae81402942d184e9b9538c72a266?pvs=21),Isola (https://www.notion.so/Isola-e75fd7d7fa144606849e2486d9a741fe?pvs=21),Isola (https://www.notion.so/Isola-59cbc18aa9b1402fb2a0ba148ceaf494?pvs=21),Isola,1,102,23,19,21,0.525,0.475,
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),,case sparse (Voga),3,94,17,17,2,0.105263157895,0.894736842105,case sparse Menarola_1861_1951_2001
1861 (https://www.notion.so/1861-c5d43a4386f7469888bb2d7f8dd4fcda?pvs=21),Menarola (https://www.notion.so/Menarola-94123965fee94a9bad19784a7697d724?pvs=21),Menarola (https://www.notion.so/Menarola-11c7c49d99b1805fa8a7f396c7e79f7b?pvs=21),,Foppo,1,105,23,21,4,0.16,0.84,Foppo
